FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,lat,long
"235",Dallas,USA-TEX,Texas,US,United States,Other,,"2","1,000,000 to 4,999,999","0","0",US_Census_2019,32.7637260006,-96.6636896049
"236",Austin,USA-TEX,Texas,US,United States,Provincial capital,,"3","500,000 to 999,999","0","0",US_Census_2019,30.2799959935,-97.7329976814
"237",San Antonio,USA-TEX,Texas,US,United States,Other,,"2","1,000,000 to 4,999,999","0","0",US_Census_2019,29.4299190137,-98.5245746983
"238",Monterrey,MEX-NLE,Nuevo Leon,MX,Mexico,Provincial capital,,"1","5,000,000 and greater","0","0",UN_Data_2010_2020,25.6770000031,-100.3169965540
"239",Saltillo,MEX-CDZ,Coahuila,MX,Mexico,Provincial capital,,"3","500,000 to 999,999","0","0",UN_Data_2010_2020,25.4179980532,-100.9940036070
"240",Ciudad Victoria,MEX-TML,Tamaulipas,MX,Mexico,Provincial capital,,"4","250,000 to 499,999","0","0",UN_Data_2010_2020,23.7390029997,-99.1389956663
"241",Aguascalientes,MEX-AGS,Aguascalientes,MX,Mexico,Provincial capital,,"2","1,000,000 to 4,999,999","0","1",UN_Data_2010_2020,21.8879999285,-102.2900036110
"242",Tepic,MEX-NYR,Nayarit,MX,Mexico,Provincial capital,,"3","500,000 to 999,999","0","0",UN_Data_2010_2020,21.5080019535,-104.8969975970
"243",Guanajuato,MEX-GNJ,Guanajuato,MX,Mexico,Provincial capital,,"5","100,000 to 249,999","0","1",UN_Data_2010_2020,21.0200040471,-101.2640036010
"244",Guadalajara,MEX-JLS,Jalisco,MX,Mexico,Provincial capital,,"1","5,000,000 and greater","0","0",UN_Data_2010_2020,20.6739990634,-103.3440026290
